Dia,LINE1_WP_HOURS,LINE1_VASE_HOURS,LINE2_WP_HOURS,LINE2_VASE_HOURS,LINE3_WP_HOURS,LINE3_VASE_HOURS,LINE4_WP_HOURS,LINE4_VASE_HOURS
"10,07,2024",0,6,6,0,6,0,6,0
"10,08,2024",0,6,6,0,6,0,6,0
"10,09,2024",0,0,6,0,6,0,6,0
"10,10,2024",0,0,6,0,6,0,6,0
"10,11,2024",0,6,6,0,6,0,6,0
"10,12,2024",0,0,0,0,0,0,0,0
"10,13,2024",0,0,0,0,0,0,0,0
"10,14,2024",5,5,10,0,10,0,10,0
"10,15,2024",5,5,10,0,10,0,10,0
"10,16,2024",10,0,10,0,10,0,10,0
"10,17,2024",10,0,10,0,10,0,10,0
"10,18,2024",0,10,10,0,10,0,10,0
"10,19,2024",10,0,10,0,10,0,10,0
"10,20,2024",0,0,0,0,0,0,0,0
"10,21,2024",5,5,10,0,10,0,10,0
"10,22,2024",5,5,10,0,10,0,10,0
