Dia,WP Demand,Vases Demand,LINE1_DAILY_WP_PROD,LINE1_DAILY_VASE_PROD,LINE2_DAILY_WP_PROD,LINE2_DAILY_VASE_PROD,LINE3_DAILY_WP_PROD,LINE3_DAILY_VASE_PROD,LINE4_DAILY_WP_PROD,LINE4_DAILY_VASE_PROD
"10,07,2024",1589,319,500,500,500,500,500,500,500,500
"10,08,2024",1234,265,500,500,500,500,500,500,500,500
"10,09,2024",1323,84,500,500,500,500,500,500,500,500
"10,10,2024",922,157,500,500,500,500,500,500,500,500
"10,11,2024",281,0,500,500,500,500,500,500,500,500
"10,12,2024",3748,464,500,500,500,500,500,500,500,500
"10,13,2024",0,0,500,500,500,500,500,500,500,500
"10,14,2024",2693,300,500,500,500,500,500,500,500,500
"10,15,2024",2904,379,500,500,500,500,500,500,500,500
"10,16,2024",1350,0,500,500,500,500,500,500,500,500
"10,17,2024",1255,0,500,500,500,500,500,500,500,500
"10,18,2024",0,0,500,500,500,500,500,500,500,500
"10,19,2024",15004,654,500,500,500,500,500,500,500,500
"10,20,2024",0,0,500,500,500,500,500,500,500,500
"10,21,2024",7920,439,500,500,500,500,500,500,500,500
"10,22,2024",6319,511,500,500,500,500,500,500,500,500
