,Dia,WP Demand,Vases Demand,LINE1_DAILY_WP_PROD,LINE1_DAILY_VASE_PROD,LINE2_DAILY_WP_PROD,LINE2_DAILY_VASE_PROD,LINE3_DAILY_WP_PROD,LINE3_DAILY_VASE_PROD,LINE4_DAILY_WP_PROD,LINE4_DAILY_VASE_PROD,WP_SUM,LINE1_WP_HOURS,LINE2_WP_HOURS,LINE3_WP_HOURS,LINE4_WP_HOURS,WP_PROD,WP_PROD_SUM,VASES_SUM,LINE1_VASE_HOURS,LINE2_VASE_HOURS,LINE3_VASE_HOURS,LINE4_VASE_HOURS,VASES_PROD,VASES_PROD_SUM,TOTAL_PROD_SUM,LINE1_DAILY_TOTAL_PROD,LINE2_DAILY_TOTAL_PROD,LINE3_DAILY_TOTAL_PROD,LINE4_DAILY_TOTAL_PROD,LINE1_TOTAL_HOURS,LINE2_TOTAL_HOURS,LINE3_TOTAL_HOURS,LINE4_TOTAL_HOURS,DEMAND_SUM,PALLETS_PRODUCED,PALLETS_DELIVERED,PALLETS_IN_STORAGE
0,2024-10-07,1589,319,500,500,500,500,500,500,500,500,1589,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,2000,319,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,2000,4000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,1908,148.0,71.0,77.0
1,2024-10-08,1234,265,500,500,500,500,500,500,500,500,2823,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,4000,584,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,4000,8000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,3407,296.0,126.0,170.0
2,2024-10-09,1323,84,500,500,500,500,500,500,500,500,4146,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,6000,668,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,6000,12000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,4814,444.0,178.0,266.0
3,2024-10-10,922,157,500,500,500,500,500,500,500,500,5068,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,8000,825,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,8000,16000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,5893,593.0,218.0,375.0
4,2024-10-11,281,0,500,500,500,500,500,500,500,500,5349,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,10000,825,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,10000,20000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,6174,741.0,229.0,512.0
5,2024-10-12,3748,464,500,500,500,500,500,500,500,500,9097,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,12000,1289,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,12000,24000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,10386,889.0,385.0,504.0
6,2024-10-13,0,0,500,500,500,500,500,500,500,500,9097,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,14000,1289,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,14000,28000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,10386,1037.0,385.0,652.0
7,2024-10-14,2693,300,500,500,500,500,500,500,500,500,11790,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,16000,1589,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,16000,32000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,13379,1185.0,496.0,689.0
8,2024-10-15,2904,379,500,500,500,500,500,500,500,500,14694,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,18000,1968,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,18000,36000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,16662,1333.0,617.0,716.0
9,2024-10-16,1350,0,500,500,500,500,500,500,500,500,16044,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,20000,1968,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,20000,40000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,18012,1481.0,667.0,814.0
10,2024-10-17,1255,0,500,500,500,500,500,500,500,500,17299,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,22000,1968,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,22000,44000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,19267,1630.0,714.0,916.0
11,2024-10-18,0,0,500,500,500,500,500,500,500,500,17299,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,24000,1968,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,24000,48000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,19267,1778.0,714.0,1064.0
12,2024-10-19,15004,654,500,500,500,500,500,500,500,500,32303,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,26000,2622,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,26000,52000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,34925,1926.0,1294.0,632.0
13,2024-10-20,0,0,500,500,500,500,500,500,500,500,32303,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,28000,2622,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,28000,56000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,34925,2074.0,1294.0,780.0
14,2024-10-21,7920,439,500,500,500,500,500,500,500,500,40223,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,30000,3061,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,30000,60000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,43284,2222.0,1603.0,619.0
15,2024-10-22,6319,511,500,500,500,500,500,500,500,500,46542,4.545454545454546,4.545454545454546,3.7037037037037037,3.7037037037037037,2000,32000,3572,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,2000,32000,64000,1000,1000,1000,1000,11.212121212121213,11.212121212121213,10.37037037037037,10.37037037037037,50114,2370.0,1856.0,514.0
