,Dia,WP Demand,Vases Demand,WP_DEMAND_SUM,VASES_DEMAND_SUM,TOTAL_DEMAND,TOTAL_DEMAND_SUM,SIM_WP_PROD_NEEDED,SIM_VASE_PROD_NEEDED,SIM_WP_PROD_NEEDED_SUM,SIM_VASE_PROD_NEEDED_SUM,SIM_TOTAL_PROD_NEEDED,SIM_TOTAL_PROD_NEEDED_SUM,SIM_PALLETS_PRODUCED,SIM_PALLETS_DELIVERED,SIM_PALLETS_IN_STORAGE,SIM_LINE1_VASE_PROD,SIM_LINE1_VASE_HOURS,SIM_LINE1_WP_PROD,SIM_LINE1_WP_HOURS,SIM_LINE2_VASE_PROD,SIM_LINE2_VASE_HOURS,SIM_LINE2_WP_PROD,SIM_LINE2_WP_HOURS,SIM_LINE3_VASE_PROD,SIM_LINE3_VASE_HOURS,SIM_LINE3_WP_PROD,SIM_LINE3_WP_HOURS,SIM_LINE4_VASE_PROD,SIM_LINE4_VASE_HOURS,SIM_LINE4_WP_PROD,SIM_LINE4_WP_HOURS
0,2024-10-07,1589,319,1589,319,1908,1908,3961.8333333333335,322.6666666666667,3961.8333333333335,322.6666666666667,4284.5,4284.5,158,70,88,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
1,2024-10-08,1234,265,2823,584,1499,3407,3961.8333333333335,322.6666666666667,7923.666666666667,645.3333333333334,4284.5,8569.0,317,126,191,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
2,2024-10-09,1323,84,4146,668,1407,4814,3961.8333333333335,322.6666666666667,11885.5,968.0,4284.5,12853.5,476,178,298,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
3,2024-10-10,922,157,5068,825,1079,5893,3961.8333333333335,322.6666666666667,15847.333333333334,1290.6666666666667,4284.5,17138.0,634,218,416,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
4,2024-10-11,281,0,5349,825,281,6174,3961.8333333333335,322.6666666666667,19809.166666666668,1613.3333333333335,4284.5,21422.5,793,228,565,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
5,2024-10-12,3748,464,9097,1289,4212,10386,0.0,0.0,19809.166666666668,1613.3333333333335,0.0,21422.5,793,384,409,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
6,2024-10-13,0,0,9097,1289,0,10386,0.0,0.0,19809.166666666668,1613.3333333333335,0.0,21422.5,793,384,409,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
7,2024-10-14,2693,300,11790,1589,2993,13379,3961.8333333333335,322.6666666666667,23771.0,1936.0000000000002,4284.5,25707.0,952,495,457,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
8,2024-10-15,2904,379,14694,1968,3283,16662,3961.8333333333335,322.6666666666667,27732.833333333332,2258.666666666667,4284.5,29991.5,1110,617,493,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
9,2024-10-16,1350,0,16044,1968,1350,18012,3961.8333333333335,322.6666666666667,31694.666666666664,2581.3333333333335,4284.5,34276.0,1269,667,602,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
10,2024-10-17,1255,0,17299,1968,1255,19267,3961.8333333333335,322.6666666666667,35656.5,2904.0,4284.5,38560.5,1428,713,715,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
11,2024-10-18,0,0,17299,1968,0,19267,3961.8333333333335,322.6666666666667,39618.333333333336,3226.6666666666665,4284.5,42845.0,1586,713,873,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
12,2024-10-19,15004,654,32303,2622,15658,34925,0.0,0.0,39618.333333333336,3226.6666666666665,0.0,42845.0,1586,1293,293,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
13,2024-10-20,0,0,32303,2622,0,34925,0.0,0.0,39618.333333333336,3226.6666666666665,0.0,42845.0,1586,1293,293,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0
14,2024-10-21,7920,439,40223,3061,8359,43284,3961.8333333333335,322.6666666666667,43580.16666666667,3549.333333333333,4284.5,47129.5,1745,1603,142,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
15,2024-10-22,6319,511,46542,3572,6830,50114,3961.8333333333335,322.6666666666667,47542.00000000001,3871.9999999999995,4284.5,51414.0,1904,1856,48,161,2.151111111111111,533,4.848888888888888,161,2.151111111111111,533,4.848888888888888,0,0,1072,8.253819444444446,0,0,1072,8.253819444444446
